調查日期,國道名稱,國道編號,方向,樁號,里程,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,鋪面種類,路幅寬,全路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,車道5寬,車道6寬,槽化區,槽化區寬,內路肩,內路肩寬,外路肩,外路肩寬,輔助車道1,輔助車道1寬,輔助車道2,輔助車道2寬,輔助車道3,輔助車道3寬,避車彎,曲率半徑,縱向坡度,橫向坡度
2022/6/27,國道三號,N0030,往北,110K+703,110703,240101.096,2735508.221,120.9021482,24.72667986,柔性,18.078,18.078,4,3.669,3.64,3.714,0,0,0,無,0,有,1.159,無,2.18,減速車道,3.716,無,0,無,0,無,4202.685,-0.022,-0.028
2022/6/27,國道三號,N0030,往北,110K+750,110750,240079.716,2735466.42,120.9019371,24.72630231,柔性,17.612,17.612,4,3.643,3.719,3.739,0,0,0,無,0,有,1.181,無,1.709,減速車道,3.621,無,0,無,0,無,56271.09,-0.025,-0.02
2022/6/27,國道三號,N0030,往北,110K+800,110800,240057.762,2735421.512,120.9017204,24.72589671,柔性,17.603,17.603,4,3.605,3.718,3.766,0,0,0,無,0,有,1.189,無,1.729,減速車道,3.595,無,0,無,0,無,13403.29,-0.024,-0.021
2022/6/27,國道三號,N0030,往北,110K+850,110850,240035.94,2735377.526,120.901505,24.72549943,柔性,17.631,17.631,4,3.658,3.668,3.77,0,0,0,無,0,有,1.154,無,1.799,減速車道,3.583,無,0,無,0,無,36354.58,-0.024,-0.019
2022/6/27,國道三號,N0030,往北,110K+900,110900,240014.453,2735333.34,120.901293,24.72510035,柔性,17.614,17.614,4,3.576,3.675,3.768,0,0,0,無,0,有,1.202,無,1.811,減速車道,3.582,無,0,無,0,無,53523.42,-0.024,-0.02
2022/6/27,國道三號,N0030,往北,110K+950,110950,239992.289,2735288.951,120.9010742,24.72469943,柔性,17.567,17.567,4,3.654,3.652,3.672,0,0,0,無,0,有,1.165,無,1.805,減速車道,3.619,無,0,無,0,無,27617.16,-0.024,-0.02
2022/6/27,國道三號,N0030,往北,111K+000,111000,239971.16,2735244.023,120.9008656,24.72429366,柔性,17.618,17.618,4,3.662,3.655,3.694,0,0,0,無,0,有,1.199,無,1.787,減速車道,3.621,無,0,無,0,無,23008.19,-0.024,-0.02
2022/6/27,國道三號,N0030,往北,111K+050,111050,239948.431,2735199.88,120.9006413,24.72389495,柔性,18.031,18.031,4,3.677,3.651,3.717,0,0,0,無,0,有,1.146,無,2.279,減速車道,3.562,無,0,無,0,無,13988.39,-0.024,-0.025
2022/6/27,國道三號,N0030,往北,111K+100,111100,239926.887,2735155.164,120.9004286,24.72349108,柔性,18.254,18.254,4,3.692,3.66,3.73,0,0,0,無,0,有,1.16,無,2.374,減速車道,3.638,無,0,無,0,無,13964.29,-0.023,-0.027
2022/6/27,國道三號,N0030,往北,111K+150,111150,239903.613,2735111.507,120.9001989,24.72309676,柔性,18.287,18.287,4,3.68,3.665,3.724,0,0,0,無,0,有,1.168,無,2.441,減速車道,3.609,無,0,無,0,無,6826.243,-0.021,-0.023
2022/6/27,國道三號,N0030,往北,111K+200,111200,239881.406,2735067.277,120.8999797,24.72269728,柔性,18.313,18.313,4,3.646,3.675,3.658,0,0,0,無,0,有,1.177,有,2.507,減速車道,3.65,無,0,無,0,無,8082.904,-0.021,-0.011
2022/6/27,國道三號,N0030,往北,111K+250,111250,239857.425,2735023.643,120.899743,24.72230316,柔性,18.331,18.331,4,3.634,3.673,3.745,0,0,0,無,0,有,1.153,有,2.564,減速車道,3.563,無,0,無,0,無,6400.06,-0.019,0.005
2022/6/27,國道三號,N0030,往北,111K+300,111300,239833.66,2734979.875,120.8995084,24.72190783,柔性,18.283,18.283,4,3.621,3.674,3.667,0,0,0,無,0,有,1.192,有,2.518,減速車道,3.611,無,0,無,0,無,5239.084,-0.016,0.013
2022/6/27,國道三號,N0030,往北,111K+350,111350,239809.219,2734936.187,120.8992671,24.72151322,柔性,18.273,18.273,4,3.629,3.677,3.692,0,0,0,無,0,有,1.159,有,2.504,減速車道,3.612,無,0,無,0,無,5183.205,-0.012,0.013
2022/6/27,國道三號,N0030,往北,111K+400,111400,239784.441,2734892.629,120.8990225,24.72111979,柔性,18.329,18.329,4,3.655,3.649,3.686,0,0,0,無,0,有,1.163,有,2.548,減速車道,3.627,無,0,無,0,無,4452.943,-0.01,0.014
2022/6/27,國道三號,N0030,往北,111K+450,111450,239759.047,2734849.399,120.8987718,24.72072931,柔性,18.323,18.323,4,3.62,3.69,3.67,0,0,0,無,0,有,1.173,有,2.535,減速車道,3.634,無,0,無,0,無,4670.454,-0.008,0.012
2022/6/27,國道三號,N0030,往北,111K+500,111500,239733.211,2734806.34,120.8985167,24.72034037,柔性,18.339,18.339,4,3.629,3.671,3.733,0,0,0,無,0,有,1.156,有,2.537,減速車道,3.614,無,0,無,0,無,4359.225,-0.006,0.01
2022/6/27,國道三號,N0030,往北,111K+550,111550,239706.434,2734762.975,120.8982524,24.71994866,柔性,18.318,18.318,4,3.652,3.62,3.76,0,0,0,無,0,有,1.172,有,2.568,減速車道,3.545,無,0,無,0,無,4557.574,-0.004,0.025
2022/6/27,國道三號,N0030,往北,111K+600,111600,239679.262,2734719.848,120.8979841,24.71955909,柔性,18.342,18.342,4,3.651,3.691,3.674,0,0,0,無,0,有,1.165,有,2.521,減速車道,3.64,無,0,無,0,無,4646.899,-0.001,0.023
2022/6/27,國道三號,N0030,往北,111K+650,111650,239652.568,2734678.764,120.8977206,24.71918798,柔性,18.337,18.337,4,3.594,3.7,3.678,0,0,0,無,0,有,1.181,有,2.552,減速車道,3.63,無,0,無,0,無,4271.932,0.001,0.019
2022/6/27,國道三號,N0030,往北,111K+700,111700,239625.578,2734637.93,120.8974541,24.71881912,柔性,18.321,18.321,4,3.671,3.693,3.689,0,0,0,無,0,有,1.143,無,2.497,減速車道,3.628,無,0,無,0,無,4638.155,0.003,0.024
