調查日期,國道名稱,國道編號,方向,樁號,里程,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,鋪面種類,路幅寬,全路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,車道5寬,車道6寬,槽化區,槽化區寬,內路肩,內路肩寬,外路肩,外路肩寬,輔助車道1,輔助車道1寬,輔助車道2,輔助車道2寬,輔助車道3,輔助車道3寬,避車彎,曲率半徑,縱向坡度,橫向坡度
2022/4/28,國道五號,N0050,往北,000K+450,450,313334.99,2769706.987,121.6276174,25.03415097,柔性,7.769,7.769,2,3.494,3.604,0,0,0,0,無,0,無,0.341,無,0.33,無,0,無,0,無,0,無,3039.964,-0.011,0.022
2022/4/28,國道五號,N0050,往北,000K+500,500,313382.11,2769690.494,121.6280835,25.0340001,柔性,7.748,7.748,2,3.483,3.566,0,0,0,0,無,0,無,0.345,無,0.356,無,0,無,0,無,0,無,2181.421,-0.006,0.021
2022/4/28,國道五號,N0050,往北,000K+550,550,313427.738,2769670.918,121.6285348,25.03382146,柔性,7.871,7.871,2,3.49,3.671,0,0,0,0,無,0,無,0.345,無,0.365,無,0,無,0,無,0,無,2354.454,-0.005,0.025
2022/4/28,國道五號,N0050,往北,000K+600,600,313473.821,2769652.436,121.6289905,25.03365268,柔性,7.946,7.946,2,3.522,3.716,0,0,0,0,無,0,無,0.347,無,0.36,無,0,無,0,無,0,無,2151.038,-0.005,0.019
2022/4/28,國道五號,N0050,往北,000K+650,650,313512.504,2769633.571,121.629373,25.03348075,柔性,7.81,7.81,2,3.507,3.618,0,0,0,0,無,0,無,0.331,無,0.354,無,0,無,0,無,0,無,2099.136,-0.005,0.017
2022/4/28,國道五號,N0050,往北,000K+700,700,313551.798,2769616.12,121.6297615,25.03332155,柔性,7.994,7.994,2,3.405,3.632,0,0,0,0,無,0,有,0.597,無,0.359,無,0,無,0,無,0,無,2681.754,-0.007,0.02
2022/4/28,國道五號,N0050,往北,000K+750,750,313610.443,2769587.456,121.6303413,25.03306032,柔性,9.565,9.565,2,3.311,3.652,0,0,0,0,無,0,有,0.651,無,1.951,無,0,無,0,無,0,無,3143.232,-0.005,0.015
2022/4/28,國道五號,N0050,往北,000K+800,800,313667.329,2769555.636,121.6309035,25.03277066,柔性,7.751,7.751,2,3.44,3.605,0,0,0,0,無,0,無,0.362,無,0.344,無,0,無,0,無,0,無,1499.848,-0.006,0.02
2022/4/28,國道五號,N0050,往北,000K+850,850,313710.355,2769529.383,121.6313287,25.03253185,柔性,7.651,7.651,2,3.466,3.463,0,0,0,0,無,0,無,0.363,無,0.359,無,0,無,0,無,0,無,3232.857,-0.005,0.019
2022/4/28,國道五號,N0050,往北,000K+900,900,313754.167,2769504.403,121.6317616,25.03230448,柔性,7.652,7.652,2,3.427,3.495,0,0,0,0,無,0,無,0.398,無,0.331,無,0,無,0,無,0,無,2367.649,-0.005,0.019
2022/4/28,國道五號,N0050,往北,000K+950,950,313789.61,2769480.47,121.6321117,25.03208693,柔性,7.654,7.654,2,3.473,3.461,0,0,0,0,無,0,無,0.358,無,0.362,無,0,無,0,無,0,無,1860.283,-0.005,0.02
2022/4/28,國道五號,N0050,往北,001K+000,1000,313825.961,2769457.958,121.6324709,25.03188216,柔性,7.665,7.665,2,3.457,3.514,0,0,0,0,無,0,無,0.349,無,0.344,無,0,無,0,無,0,無,2385.846,-0.005,0.016
