調查日期,國道名稱,國道編號,方向 ,樁號,里程,匝道編號,匝道編號 (舊),交流道名稱,匝道中文描述,出入國道,鋪面種類,與匝道起點距離,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,槽化區,槽化區寬,方位角,曲率半徑,縱向坡度,橫向坡度
2022/4/28,國道三號,N0030,往東,016K+000,16000,300016EJ00L,13,南港系統交流道,,出,柔性,237.03,313069.451,2769748.279,121.62498802,25.03453483,3.380,1,3.725,0.000,0.000,0.000,無,0.000,0.000,,,-0.03
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,0,312479.236,2769746.434,121.61913946,25.03454266,7.170,1,5.142,0.000,0.000,0.000,無,0.000,0.991,1815.554,-0.021,-0.02
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,10,312491.702,2769745.695,121.61926295,25.03453548,7.390,1,5.039,0.000,0.000,0.000,有,0.440,0.986,13324.720,-0.021,-0.02
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,20,312500.030,2769751.232,121.61934572,25.03458511,7.390,1,5.066,0.000,0.000,0.000,有,0.670,0.987,3913692.000,-0.02,-0.03
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,30,312508.356,2769756.756,121.61942848,25.03463464,7.370,1,5.067,0.000,0.000,0.000,有,1.020,0.987,16221.560,-0.018,-0.02
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,40,312516.668,2769762.324,121.61951109,25.03468457,7.300,1,5.048,0.000,0.000,0.000,有,1.410,0.986,33907.240,-0.019,-0.02
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,50,312524.975,2769767.899,121.61959366,25.03473456,7.240,1,5.051,0.000,0.000,0.000,有,1.810,0.986,63445.840,-0.02,-0.02
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,60,312533.280,2769773.469,121.61967621,25.03478450,7.190,1,5.060,0.000,0.000,0.000,有,2.260,0.986,19474.360,-0.018,-0.01
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,70,312541.598,2769779.019,121.61975888,25.03483426,7.150,1,5.061,0.000,0.000,0.000,有,2.720,0.985,9941.819,-0.018,0
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,80,312549.902,2769784.603,121.61984142,25.03488433,7.090,1,5.059,0.000,0.000,0.000,有,3.270,0.984,4950.992,-0.02,-0.01
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,90,312558.199,2769790.173,121.61992390,25.03493427,7.030,1,5.046,0.000,0.000,0.000,有,3.810,0.986,19352.250,-0.02,-0.01
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,100,312566.500,2769795.746,121.62000640,25.03498423,6.980,1,5.069,0.000,0.000,0.000,有,4.450,0.986,17225.250,-0.018,-0.02
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,110,312574.770,2769801.378,121.62008860,25.03503474,6.860,1,5.098,0.000,0.000,0.000,有,5.120,0.985,10600.960,-0.015,-0.02
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,120,312583.033,2769807.006,121.62017074,25.03508521,6.750,1,5.119,0.000,0.000,0.000,有,5.820,0.986,2497.878,-0.013,-0.01
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,130,312591.295,2769812.639,121.62025287,25.03513572,6.610,1,5.101,0.000,0.000,0.000,有,6.680,0.990,649.909,-0.01,-0.01
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,140,312599.522,2769818.274,121.62033464,25.03518625,6.400,1,5.063,0.000,0.000,0.000,有,7.610,1.006,545.367,0.001,-0.01
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,150,312607.892,2769823.579,121.62041783,25.03523379,6.310,1,4.855,0.000,0.000,0.000,有,8.880,1.024,265.440,0.015,-0.02
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,160,312616.552,2769828.360,121.62050385,25.03527660,6.560,1,4.589,0.000,0.000,0.000,有,10.500,1.062,341.176,0.038,-0.02
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,170,312625.196,2769833.117,121.62058972,25.03531919,9.000,1,4.487,0.000,0.000,0.000,無,0.000,1.091,223.688,0.054,-0.03
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,180,312633.802,2769837.789,121.62067521,25.03536100,8.350,1,4.499,0.000,0.000,0.000,無,0.000,1.136,249.774,0.065,-0.05
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,190,312642.653,2769842.220,121.62076312,25.03540064,8.070,1,4.432,0.000,0.000,0.000,無,0.000,1.176,119.102,0.064,-0.05
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,200,312651.715,2769845.713,121.62085308,25.03543180,8.010,1,4.452,0.000,0.000,0.000,無,0.000,1.259,182.621,0.067,-0.05
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,210,312661.048,2769848.796,121.62094570,25.03545924,7.830,1,4.531,0.000,0.000,0.000,無,0.000,1.314,169.266,0.069,-0.06
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,220,312670.449,2769851.293,121.62103897,25.03548141,7.820,1,4.502,0.000,0.000,0.000,無,0.000,1.373,154.262,0.067,-0.05
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,230,312679.909,2769853.203,121.62113279,25.03549825,7.720,1,4.478,0.000,0.000,0.000,無,0.000,1.438,136.029,0.064,-0.05
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,240,312689.496,2769854.487,121.62122785,25.03550945,7.570,1,4.498,0.000,0.000,0.000,無,0.000,1.512,196.503,0.054,-0.05
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,250,312699.285,2769855.202,121.62132488,25.03551550,7.010,1,4.497,0.000,0.000,0.000,無,0.000,1.562,164.161,0.045,-0.07
