調查日期,國道名稱,國道編號,方向,樁號,里程,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,鋪面種類,路幅寬,全路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,車道5寬,車道6寬,槽化區,槽化區寬,內路肩,內路肩寬,外路肩,外路肩寬,輔助車道1,輔助車道1寬,輔助車道2,輔助車道2寬,輔助車道3,輔助車道3寬,避車彎,曲率半徑,縱向坡度,橫向坡度
2022/8/16,國道三號,N0030,往北,270K+000,270000,206381.704,2617146.203,120.5724107,23.65739002,柔性,15.662,15.662,3,3.74,3.678,3.606,0,0,0,無,0,有,1.103,有,3.535,無,0,無,0,無,0,無,2015.688,-0.009,-0.038
2022/8/16,國道三號,N0030,往北,270K+050,270050,206380.483,2617097.159,120.5724001,23.65694714,柔性,15.607,15.607,3,3.65,3.673,3.662,0,0,0,無,0,有,1.228,有,3.394,無,0,無,0,無,0,無,7.868,-0.008,-0.032
2022/8/16,國道三號,N0030,往北,270K+100,270100,206382.35,2617048.061,120.5724199,23.65650384,柔性,15.692,15.692,3,3.649,3.673,3.632,0,0,0,無,0,有,1.234,有,3.505,無,0,無,0,無,0,無,2804.991,-0.005,-0.034
2022/8/16,國道三號,N0030,往北,270K+150,270150,206384.293,2616998.146,120.5724404,23.65605317,柔性,15.76,15.76,3,3.65,3.673,3.618,0,0,0,無,0,有,1.277,有,3.542,無,0,無,0,無,0,無,3791.464,-0.004,-0.029
2022/8/16,國道三號,N0030,往北,270K+200,270200,206387.484,2616948.203,120.5724731,23.65560229,柔性,15.723,15.723,3,3.651,3.673,3.662,0,0,0,無,0,有,1.233,有,3.505,無,0,無,0,無,0,無,3515.186,-0.004,-0.03
2022/8/16,國道三號,N0030,往北,270K+250,270250,206390.545,2616899.283,120.5725046,23.65516064,柔性,15.689,15.689,3,3.65,3.674,3.626,0,0,0,無,0,有,1.201,有,3.538,無,0,無,0,無,0,無,4719.256,-0.003,-0.028
2022/8/16,國道三號,N0030,往北,270K+300,270300,206394.426,2616850.438,120.5725441,23.65471969,柔性,15.643,15.643,3,3.65,3.672,3.719,0,0,0,無,0,有,1.304,有,3.299,無,0,無,0,無,0,無,4933.653,-0.003,-0.027
2022/8/16,國道三號,N0030,往北,270K+350,270350,206398.213,2616800.045,120.5725827,23.65426475,柔性,15.154,15.154,3,3.65,3.673,3.66,0,0,0,無,0,有,1.218,有,2.953,無,0,無,0,無,0,無,5751.699,-0.004,-0.02
2022/8/16,國道三號,N0030,往北,270K+400,270400,206403.381,2616749.748,120.5726348,23.65381072,柔性,15.134,15.134,3,3.65,3.671,3.671,0,0,0,無,0,有,1.173,有,2.97,無,0,無,0,無,0,無,7670.349,-0.004,-0.013
2022/8/16,國道三號,N0030,往北,270K+450,270450,206407.802,2616699.893,120.5726796,23.65336067,柔性,15.17,15.17,3,3.65,3.673,3.655,0,0,0,無,0,有,1.202,有,2.989,無,0,無,0,無,0,無,18170.29,-0.005,0.002
2022/8/16,國道三號,N0030,往北,270K+500,270500,206412.951,2616650.106,120.5727315,23.65291125,柔性,15.136,15.136,3,3.649,3.673,3.63,0,0,0,無,0,有,1.175,有,3.009,無,0,無,0,無,0,無,111619.8,-0.005,0.014
2022/8/16,國道三號,N0030,往北,270K+550,270550,206417.342,2616600.531,120.572776,23.65246371,柔性,15.167,15.167,3,3.65,3.673,3.633,0,0,0,無,0,有,1.2,有,3.011,無,0,無,0,無,0,無,54094.83,-0.003,0.019
2022/8/16,國道三號,N0030,往北,270K+600,270600,206422.266,2616551.015,120.5728257,23.65201672,柔性,15.163,15.163,3,3.65,3.673,3.648,0,0,0,無,0,有,1.211,有,2.982,無,0,無,0,無,0,無,20731.58,-0.003,0.018
2022/8/16,國道三號,N0030,往北,270K+650,270650,206426.345,2616501.074,120.5728672,23.65156588,柔性,15.135,15.135,3,3.65,3.673,3.611,0,0,0,無,0,有,1.202,有,2.999,無,0,無,0,無,0,無,11224.45,-0.003,0.018
